Nest_ID,year,ring,date,time,sex,site,nest,left_tarsus,right_tarsus,left_wing,right_wing,weight,fat,blood,code,moult,observer,comments
2006_C16,2006,CA164,615,1899-12-31 21:15:00,J,C,16,17,17,,,6.1,,1,MX.XX|SX.XX,,CK,
2006_C17,2006,CA219,612,1899-12-31 21:00:00,F,C,17,24.4,24.5,,,38,,0,RX.MX|BX.YX,,CK,
2006_C17,2006,CA220,612,1899-12-31 21:00:00,M,C,17,24.4,24.3,,,38.75,,0,RX.MX|RX.BX,,CK,
2006_C18,2006,802109785,622,1899-12-31 19:30:00,F,C,18,25.5,25.2,112,112,37,1,1,WX.BX|OX.RM,,CK,
2006_C19,2006,CA152,614,1899-12-31 17:35:00,F,C,19,25.7,25.8,109,109,36,0,1,WX.MX|WX.RX,,CK,
2006_C19,2006,CA165,615,1899-12-31 21:15:00,M,C,19,25.4,25.2,110,110,39,2,1,WX.MX|RX.YX,,CK,
2006_C20,2006,CA137,611,1899-12-31 18:40:00,F,C,20,24.3,24.4,109,109,39,0,1,YX.MX|LX.YX,,SQ,
2006_C20,2006,CA107,612,1899-12-31 22:00:00,M,C,20,,,,,,,0,YX.MX|OX.WX,,CK,
2006_C20,2006,CA302,703,1899-12-31 07:00:00,J,C,20,16.2,16.1,,,6.6,,1,MX.XX|GX.XX,,CK,
2006_C20,2006,CA304,703,1899-12-31 17:40:00,J,C,20,17.1,17,,,6.3,,1,MX.XX|GX.XX,,CK,
2006_C201,2006,CA139,611,1899-12-31 20:00:00,M,C,201,25.7,25.7,107,108,37.25,1,1,YX.MX|OX.YX,,SQ,
2006_C201,2006,CA014,616,1899-12-31 09:30:00,F,C,201,23.8,23.8,,,35.75,,1,RX.MX|YX.RX,,CK,
2006_C206,2006,CA136,609,1899-12-31 09:55:00,F,C,206,25.5,25.5,114,114,42,2,1,YX.MX|RX.RX,,SQ,
2006_C206,2006,CA147,614,1899-12-31 09:00:00,J,C,206,18.4,18.7,,,6,,1,MX.XX|YX.XX,,CK,
2006_C206,2006,CA148,614,1899-12-31 09:00:00,J,C,206,19,19.1,,,6.5,,1,MX.XX|YX.XX,,CK,
2006_C206,2006,CA149,614,1899-12-31 09:00:00,J,C,206,18.3,18.5,,,6.1,,1,MX.XX|YX.XX,,CK,little blood taken
2006_C206,2006,CA147,629,1899-12-31 23:20:00,J,C,206,23.5,23.6,,,10,,0,MX.XX|YX.XX,,CK,
2006_C206,2006,CA149,629,1899-12-31 23:20:00,J,C,206,23.9,23.8,,,12.5,,0,MX.XX|YX.XX,,CK,
2006_C21,2006,CA002,623,1899-12-31 08:15:00,F,C,21,24.7,24.8,,,39.75,,0,RX.MX|XX.OX,,CK,"blister at right tibia, removed Y-Ring"
2006_C21,2006,CA231,623,1899-12-31 08:15:00,M,C,21,25.5,25.6,107,108,38,1,1,WX.MX|BX.LX,,CK,
2006_C210,2006,CA201,609,1899-12-31 19:05:00,M,C,210,26.5,26.5,111,112,39.25,0,1,WX.MX|YX.WX,,CK,
2006_C210,2006,CA151,614,1899-12-31 17:00:00,F,C,210,25.2,25.3,106,107,35.25,0,1,WX.MX|WX.OX,,CK,both 2nd Primaries broken
2006_C210,2006,CA249,626,1899-12-31 18:45:00,J,C,210,17.9,18,,,6.1,,1,MX.XX|LX.XX,,CK,
2006_C210,2006,CA250,626,1899-12-31 18:45:00,J,C,210,18.7,18.6,,,6.2,,1,MX.XX|LX.XX,,CK,
2006_C210,2006,CA251,626,1899-12-31 18:45:00,J,C,210,17.6,17.7,,,5.9,,1,MX.XX|LX.XX,,CK,
2006_C210,2006,CA250,707,1899-12-31 20:40:00,J,C,210,20.8,20.8,,,6.3,,0,MX.XX|LX.XX,,CK,
2006_C211,2006,CA096,608,1899-12-31 09:30:00,F,C,211,24.7,24.6,,,40.5,,1,RX.MX|YX.YX,,CK,
2006_C211,2006,CA098,608,1899-12-31 21:30:00,M,C,211,25.5,25.6,109,109,40.25,2,1,WX.MX|YX.OX,,CK,
2006_C211,2006,CA246,625,1899-12-31 11:30:00,J,C,211,17.6,17.5,,,5.9,,1,MX.XX|RX.XX,,CK,
2006_C211,2006,CA246,629,1899-12-31 22:10:00,J,C,211,18.5,18.5,,,4.8,,0,MX.XX|RX.XX,,CK,
2006_C211,2006,CA267,629,1899-12-31 22:10:00,J,C,211,19,19.1,,,6.6,,1,MX.XX|SX.XX,,CK,
2006_C212,2006,CA153,614,1899-12-31 18:10:00,M,C,212,26.6,26.6,112,112,40,0,1,WX.MX|WX.YX,,CK,
2006_C212,2006,CA158,615,1899-12-31 16:30:00,F,C,212,25.1,25,100,101,36,2,1,WX.MX|RX.GX,,CK,
2006_C-213,2006,CA135,609,1899-12-31 09:00:00,F,C,213,23.6,23.7,106,107,36.25,1,1,YX.MX|RX.OX,,SQ,
2006_C-213,2006,CA154,614,1899-12-31 21:00:00,M,C,213,25.9,25.9,109,110,37.5,1,1,WX.MX|RX.LX,,CK,
2006_C-213,2006,CA222,621,1899-12-31 07:45:00,J,C,213,17.5,17.3,,,5.6,,1,MX.XX|BX.XX,,CK,"chick ringed a few days after hatching, risk of brood mixing"
2006_C-213,2006,CA223,621,1899-12-31 07:45:00,J,C,213,17.3,17.4,,,5.3,,1,MX.XX|BX.XX,,CK,"chick ringed a few days after hatching, risk of brood mixing"
2006_C-213,2006,CA224,621,1899-12-31 07:45:00,J,C,213,17.9,17.9,,,5.7,,1,MX.XX|BX.XX,,CK,"chick ringed a few days after hatching, risk of brood mixing"
2006_C-213,2006,CA223,629,1899-12-31 22:00:00,J,C,213,18.1,18.3,,,4.8,,0,MX.XX|BX.XX,,CK,
