"","X","Nest_ID","Female_ID","Male_ID","Female_dur_care","Male_dur_care","Hatching_date","Year","Chick","Chick_ID","Chick_surv_age","Hatching_date_ch","Fate","Cap_date","Cap_age","Chick_weight","Left_tarsus_ch","Right_tarsus_ch","Mean_tarsus_ch","Mean_brood_weight","Mean_brood_tarsus","Chick_CI","Mean_brood_CI","Max_chick_CI"
"58",58,"2007_A121","CA171","CA1336",1.5,22,"2007-06-21",2007,1,"CA1338",22,"2007-06-21","unknown","2007-06-21",0,5.9,17.4,17.4,17.4,5.9,17.4,5.97339381749973,5.97339381749973,5.97339381749973
"59",59,"2007_A122","CA1331","CA172",9,9,"2007-06-25",2007,1,"CA1344",7,"2007-06-25","unknown","2007-06-25",0,5.2,17.5,17.5,17.5,5.1,17.875,4.97518455420682,4.87950792816438,4.97518455420682
"60",60,"2007_A124","CA1210","CA1313",13,13,"2007-06-27",2007,1,"CA1351",11.5,"2007-06-27","unknown","2007-06-27",0,5.5,17.8,17.8,17.8,6.03333333333333,17.7333333333333,5.35088299341614,5.86975649580801,6.42105959209937
"61",61,"2007_A125","CA204","CA235",8,8,"2007-06-28",2007,1,"CA1372",8,"2007-06-28","died","2007-06-28",0,6.3,17.1,17.1,17.1,6.4,17.025,6.67698121043629,6.78296503917337,6.88894886791046
"62",62,"2007_A127","CA1273","CA2040",5,5,"2007-07-03",2007,1,"CA1390",4.5,"2007-07-03","unknown","2007-07-03",0,6.4,17.4,17.3,17.35,5.75,17.1,6.72064104558617,6.03807593939382,6.72064104558617
"63",63,"2007_A128","CA125","CA1314",4,14,"2007-06-25",2007,1,"CA1481",5,"2007-06-25","unknown","2007-06-25",0,7,17.7,17.6,17.65,6.15,17.4,7.0870774105929,6.22650372502091,7.0870774105929
"64",64,"2007_A130","CA081","CA143",2,13,"2007-06-29",2007,1,"CA1378",13,"2007-06-29","unknown","2007-06-29",0,6.6,17.9,17.9,17.9,5.9,17.6,6.52363855860446,5.83173749935853,6.52363855860446
"65",65,"2007_A131","CA1332","RX.LX|BX.WX",10,10,"2007-06-29",2007,1,"CA1376",10,"2007-06-29","unknown","2007-06-29",0,6.5,17.2,17.2,17.2,6.35,17.1,6.82565106192345,6.66813603741752,6.82565106192345
"66",66,"2007_A132","CA1333","CA1319",15,15,"2007-06-27",2007,1,"CA1492",15,"2007-06-27","unknown","2007-06-27",0,5.5,17.8,17.7,17.75,5.86666666666667,17.5,5.50180691873315,5.86859404664869,6.30206974327615
"67",67,"2007_A2","CA1254","CA008",4,18,"2007-05-31",2007,1,"CA1293",17,"2007-05-31","died","2007-05-31",0,5.2,17.4,17.5,17.45,5.675,16.9125,5.58842595888207,6.09890717627995,6.77059298864558
